streak_length,missed_days_last_7,checkin_hour_avg,engagement_freq,days_since_last,goal_age_days,label
21,0,20,0.8442037026636933,8,51,0
9,7,14,0.6813613534146418,6,30,0
50,7,19,0.2878162609679054,5,14,0
32,6,8,0.8382372978474533,0,20,0
4,2,10,0.295531563605667,2,71,0
29,4,6,0.4004939588325678,1,33,0
62,1,9,0.6418922726423734,6,137,0
40,3,7,0.9505116428013836,7,117,0
11,0,4,0.8092826102579044,11,116,0
7,0,19,0.6644213820653947,0,8,0
57,0,21,0.3997481435540576,6,92,0
27,0,21,0.2582381741962981,0,163,0
43,3,7,0.27635744368590903,8,165,0
49,7,16,1.0,9,114,0
30,6,9,0.4774104250701421,0,40,0
21,2,19,0.4731389515947486,2,73,0
44,7,16,1.0,15,144,0
18,1,12,0.9921500750265959,0,35,0
38,1,23,0.9724470247435155,10,186,0
49,2,9,0.5927277738917018,14,38,0
43,6,14,0.23804388290961148,5,150,0
19,2,16,0.5374593143768452,4,158,0
33,4,9,0.7375832479268791,10,93,0
24,5,16,0.96321861488243,2,150,0
29,4,6,0.37439358357371577,11,58,0
51,4,3,0.1920976031471513,0,169,0
49,0,18,1.0,11,175,0
6,2,16,0.99297514063503,4,130,0
16,7,18,0.3994754594270641,2,110,0
63,4,11,0.6539128465682293,6,150,0
17,5,10,0.8869888583920861,12,112,0
41,6,5,1.0,1,35,0
25,7,9,0.6477097154130557,12,100,0
5,0,6,0.7742973098954663,5,8,0
39,0,10,0.5778675345226014,0,135,0
3,0,10,1.0,3,1,0
39,4,18,0.3236493680564217,5,150,0
52,7,3,0.9422201741874852,7,109,0
48,0,11,0.5312204033114514,11,152,0
51,1,21,0.6801024705693762,16,165,0
30,2,23,0.3598097403054595,4,156,0
14,0,8,0.10644592742562659,8,168,0
21,0,10,0.7724309298944452,0,30,0
34,3,4,0.2221655026262854,0,99,0
30,1,7,0.3107795650908266,1,76,0
48,4,8,0.316315498486742,1,165,0
5,7,13,0.6096271801846262,5,54,0
23,6,21,0.13739790762183682,9,71,0
20,2,16,0.711960843907019,13,72,0
27,6,5,0.49476900144112823,13,39,0
38,3,6,0.8212446344320211,10,83,0
33,4,13,0.2192257610598511,0,35,0
51,2,13,0.5013509277642655,7,154,0
37,3,22,0.35294806327474404,13,96,0
46,0,5,0.48431797876712734,14,29,0
62,0,13,0.7839830202592089,11,154,0
6,1,6,0.7150414563926846,6,14,0
32,1,15,0.860233110243018,6,23,0
49,4,22,0.694470965495835,1,141,0
16,7,13,0.8273026239918986,7,175,0
12,0,4,0.5084289806812347,4,93,0
57,4,5,0.6173007360929809,0,171,0
42,6,8,0.804821539197633,1,36,0
12,5,9,1.0,12,33,0
24,4,15,0.8311393567510833,3,136,0
50,0,13,0.38753671624077873,11,156,0
45,3,5,0.696636732599454,11,150,0
20,3,9,0.49898548723952063,4,149,0
26,2,19,0.2576298161312274,12,95,0
12,0,23,0.7559144064382787,0,72,0
46,6,3,0.22746898745530306,4,186,0
29,2,10,0.4100381275684447,11,54,0
7,6,22,0.053087063802172554,7,53,0
68,4,8,0.37217464348844825,14,98,0
0,0,20,0.2137815882969297,0,103,0
28,0,17,0.6555808794882352,11,47,0
28,3,18,1.0,9,160,0
7,3,16,0.9679733672057018,7,177,0
42,3,6,0.49423891784603197,5,181,0
7,0,14,0.38068296452231853,0,129,0
24,0,17,0.0,7,7,0
9,4,10,0.8228887278401497,0,79,0
46,1,8,0.5562989633943592,16,153,0
14,2,22,0.12763427480834239,11,68,0
52,5,6,0.1258632985733656,3,143,0
9,0,5,0.22074063475048253,6,156,0
52,3,18,0.3424424629807531,6,103,0
14,0,21,0.7808081496233038,2,11,0
13,5,20,0.23445032077766392,12,102,0
54,4,18,0.741538670473899,13,143,0
24,1,8,0.5776418354688864,1,68,0
50,5,13,0.9133680758870943,1,8,0
57,0,13,0.8217539845314523,7,132,0
44,1,3,1.0,9,159,0
12,0,23,0.04827096342686249,12,71,0
7,5,10,0.924344884126596,4,158,0
23,1,10,0.35352194681913723,4,125,0
6,7,10,0.5681678462749704,6,70,0
32,3,6,0.9240524015924027,9,134,0
61,1,5,0.19453160652477205,12,115,0
38,4,23,0.3624484673567719,13,70,0
58,0,13,0.10539030453636125,13,50,0
52,1,10,0.9276861659037763,11,12,0
40,2,12,0.8480911108047944,7,83,0
2,5,21,0.19319800959981198,2,65,0
71,1,15,0.82693057556992,10,151,0
43,6,23,0.2084421539504459,0,93,0
37,3,3,0.8299238905492891,9,126,0
10,0,15,0.37147688783304267,10,124,0
7,5,11,0.31212750434713155,7,55,0
12,1,7,0.35491226205651843,7,176,0
10,7,7,0.943995763232549,4,42,0
38,0,5,0.990638391216337,0,38,0
55,4,16,0.2854889099998623,5,167,0
49,3,15,0.7511659066030073,3,138,0
35,4,20,0.8234278750177244,4,182,0
41,3,4,0.4693967654153638,3,124,0
24,0,7,0.5425418345298871,8,165,0
53,6,12,1.0,12,156,0
31,2,7,0.4154777670703714,9,52,0
55,7,10,1.0,10,160,0
56,0,13,1.0,15,36,0
9,3,13,0.8466663750615702,6,154,0
17,4,8,0.824418110054483,11,105,0
32,0,5,0.8249309954159977,3,125,0
47,1,17,0.5831593023942279,4,53,0
8,6,14,0.2361027792378974,7,168,0
27,7,7,0.9136030366576622,4,62,0
0,5,12,0.6793894393880886,0,73,0
43,3,23,0.3589926334138954,14,94,0
30,3,5,0.23043483033652687,12,38,0
3,0,5,0.5704155117626424,3,1,0
13,4,8,0.9196654246043532,10,169,0
26,4,21,0.34168531486923825,12,24,0
56,0,12,0.7428323701942058,12,134,0
44,2,21,0.27537303450902784,16,85,0
19,0,22,0.6545417457308877,12,88,0
59,3,15,0.03537685913169111,11,96,0
47,6,10,0.9472809387324068,2,41,0
7,0,16,1.0,5,110,0
47,7,4,1.0,0,168,0
46,4,2,0.7205015256537792,3,98,0
52,0,11,0.8455928135004668,8,135,0
48,0,12,0.791385192602822,7,84,0
33,1,21,0.9348790603589745,2,101,0
44,3,21,0.7814180039277488,6,37,0
43,1,8,0.7993871358797195,14,140,0
17,3,8,0.1305840095107431,11,80,0
22,0,21,0.60535998277027,14,148,0
6,4,22,0.45934186590825343,6,153,0
52,4,18,0.6148335265547191,3,148,0
8,7,11,0.5109016056560894,7,77,0
26,4,4,0.3141370382200066,12,53,0
28,6,10,1.0,4,48,0
62,0,11,0.7598384152877525,5,137,0
26,0,23,0.2378099120447109,5,142,0
21,7,21,0.5386296138353386,14,178,0
31,4,20,0.26715264677653605,5,92,0
44,0,17,0.826554825174138,13,64,0
35,3,19,0.9166445200225606,13,165,0
39,2,6,0.019577758914600257,11,146,0
36,3,7,0.8706068620164111,3,169,0
12,0,22,0.5294148607665452,10,93,0
26,2,23,1.0,3,170,0
9,0,12,0.9044460720371188,1,16,0
59,7,5,0.6325289664757942,2,156,0
1,0,22,0.7672258887201582,1,68,0
11,5,5,0.7462057451283818,11,22,0
42,7,7,0.2076678953328163,11,60,0
20,5,10,0.4923151499951068,2,99,0
46,6,10,0.9347860621096499,13,164,0
47,0,14,0.41549923040078707,0,153,0
51,1,10,0.7715450954736844,13,42,0
43,6,9,0.7993274972434281,2,45,0
14,0,22,0.16568844845634415,7,14,0
9,6,22,0.3138349939775308,6,138,0
25,0,18,0.7637696297131924,3,120,0
40,2,8,0.11185007229345591,11,130,0
26,7,12,0.7932518819272777,8,67,0
40,6,5,0.9006210280607968,11,78,0
46,4,12,0.6555561435047637,2,40,0
41,4,2,0.3539190377109619,13,164,0
8,0,18,0.5181228555388673,7,128,0
3,5,15,0.5727587921995886,3,35,0
36,6,15,0.24089248402778313,0,34,0
23,2,12,0.4284912551538921,13,68,0
11,1,13,0.6770771628245326,8,15,0
11,7,7,0.1487082742758752,11,93,1
36,3,7,0.5957961452858389,9,46,0
39,5,7,0.9275409391316661,0,154,0
37,0,15,0.29371618240400155,3,147,0
24,0,19,0.17065579383349858,5,60,0
58,1,9,0.6162109635645184,11,44,0
5,2,14,0.691776236402993,5,140,0
48,0,19,0.8822337827553561,12,33,0
43,3,8,0.23421930038799163,7,36,0
48,3,3,0.9618323620153119,0,75,0
10,7,5,0.4961127972467839,5,81,0
54,1,4,0.9772563298134942,13,1,0
30,7,11,0.8521495987754696,3,97,0
28,3,5,0.7436179324028147,11,62,0
12,4,7,0.2008148783523513,12,92,0
22,6,13,0.5349342620045118,2,121,0
36,3,22,1.0,7,136,0
20,4,21,0.8778543636556053,14,70,0
10,4,21,0.5249049938116683,0,135,0
43,4,19,0.7162945989957294,8,38,0
39,0,7,0.8636766785245655,4,122,0
20,5,13,0.5092088588800544,13,64,0
36,2,23,0.9734034010269305,10,179,0
22,0,15,0.6381811633755522,9,45,0
19,0,12,0.594051544017458,9,11,0
39,3,9,0.5887241007613828,0,53,0
55,3,8,0.5462171457798762,8,79,0
38,4,14,0.11850700824293997,0,26,0
39,5,13,0.13737176560310738,0,38,0
5,0,20,0.28596435528589953,3,93,0
30,2,15,1.0,2,165,0
54,4,8,0.6564251480253659,0,51,0
16,7,21,0.2622598307774672,16,127,1
2,2,17,1.0,2,116,0
48,1,8,0.5700812610490293,5,42,0
11,2,11,0.9936857632033701,2,115,0
38,7,21,0.38619698833737987,0,81,0
12,7,10,0.7769313143782758,12,103,0
32,5,19,0.8274324355834883,14,138,0
34,7,5,0.8143904553085007,4,12,0
27,7,6,0.9477973245142173,3,163,0
31,1,20,0.42774703740312686,8,108,0
36,0,19,0.8151752977008566,7,188,0
45,2,21,0.5585137810628731,10,109,0
19,3,23,0.6043190297248312,8,118,0
56,0,20,0.22577979857984584,15,72,0
43,0,15,0.8487815257647899,6,24,0
50,0,17,0.13123359884057642,14,105,0
3,2,17,0.1963323398044961,3,130,0
13,1,7,0.5531852330004674,9,125,0
50,5,7,0.6523519457342504,0,150,0
13,7,11,0.7231768188741141,4,50,0
30,0,17,0.6110187339415981,11,105,0
11,4,20,0.1415773158230899,10,127,0
37,1,20,0.50278916657539,7,167,0
20,1,19,0.949077343001768,3,139,0
18,4,17,0.7630368575440813,0,158,0
51,2,13,0.7257339561233829,5,127,0
26,4,20,0.4947963640942007,11,60,0
4,7,23,0.18760653632719446,4,55,0
57,2,7,0.4274919043850197,10,51,0
3,2,16,0.49853731226798403,1,124,0
45,5,20,0.16408003039488203,17,65,0
50,3,15,0.0816590844848463,6,170,0
23,5,4,0.06591687106629014,12,57,0
10,5,8,0.061948210699039996,10,97,0
19,5,1,0.0,9,96,0
28,3,8,0.4556257121598559,3,75,0
62,3,7,0.32673683672899,8,38,0
46,4,5,0.2759460501771879,10,28,0
41,6,5,0.7488294546871153,0,131,0
17,7,20,0.7499209398510598,5,145,0
55,1,11,0.3282177470501545,16,77,0
49,5,17,0.7458294574784419,14,143,0
62,1,13,0.8810176036459457,9,128,0
10,0,20,0.2643624604733574,8,21,0
43,2,22,0.7745202487184626,0,149,0
17,0,16,0.32276837169414574,17,32,0
22,6,13,0.36394073640128877,9,50,0
41,6,3,0.06676288759804833,6,76,0
16,3,4,0.967985241263307,6,46,0
13,0,13,0.3628508457061942,5,166,0
30,3,23,0.3548490249083922,10,29,0
13,0,20,0.3210586409630921,13,131,0
30,0,23,0.2813150649476237,11,158,0
15,2,23,0.14946111031768564,15,72,0
62,0,12,0.9785395180119337,9,135,0
37,7,10,0.8316666406011093,8,119,0
29,2,17,0.753843096147797,12,55,0
60,4,5,1.0,1,54,0
54,2,4,0.8596893850399215,0,164,0
20,3,18,0.9506966982207712,12,41,0
47,4,4,0.9213481914744177,9,111,0
52,0,23,0.716800563899058,5,42,0
49,3,10,0.3192234437519919,8,124,0
16,5,8,0.6890231749301334,16,113,0
30,0,7,0.8926473285198836,4,96,0
37,2,21,0.8422885989953691,9,157,0
29,5,10,0.505098139663692,2,162,0
26,7,20,0.8350482935094953,5,132,0
29,7,6,0.8191529192653568,0,11,0
60,3,21,0.6034937941814865,5,99,0
44,6,15,0.8791872276907431,10,22,0
61,1,14,0.818085706472863,11,112,0
63,1,5,0.9825433323834024,11,7,0
59,2,19,0.6795540531190157,11,150,0
6,3,19,0.28518800374201636,6,118,0
26,4,12,0.34156956642204483,7,159,0
31,7,19,0.9823312659885619,14,187,0
34,3,18,0.9428578709081238,11,139,0
64,4,23,0.7142366939554753,11,167,0
55,2,8,0.622149784102837,12,33,0
5,5,22,0.15267783012797348,5,63,0
39,7,21,0.2779311647016488,0,97,0
9,5,6,0.8304795451501885,6,30,0
45,6,19,0.2859266304014305,11,167,0
58,1,5,0.5817724302814351,9,44,0
20,2,19,1.0,10,176,0
46,0,23,0.942416268452418,0,127,0
61,3,13,0.017172981529227666,9,51,0
5,2,20,0.27003689804563147,0,106,0
48,1,8,0.0026910283490987896,1,81,0
38,5,3,0.10959442689155896,13,153,0
39,5,4,0.5366640440318575,3,123,0
29,3,20,0.6720661520981948,12,54,0
14,0,4,0.5594425589128327,11,148,0
30,5,13,0.8385569564625732,8,43,0
7,1,12,0.9179836453840049,1,107,0
63,3,12,0.005100392980134552,11,58,0
48,7,7,0.2361967848892176,14,38,0
27,1,17,0.8783111743713697,12,145,0
32,2,4,0.8556372441816683,9,153,0
13,2,16,0.8909415285967585,2,36,0
50,1,9,0.3667967731344435,6,150,0
31,4,11,0.44370810667308747,4,159,0
32,2,9,0.3731659591886769,7,56,0
41,7,6,0.8980832505485741,0,46,0
29,0,16,0.6627227562494912,11,123,0
61,7,23,1.0,10,176,0
16,3,19,0.32663323193560945,10,140,0
32,2,5,0.6888297517704265,11,53,0
5,3,15,1.0,1,104,0
63,3,8,0.6282902341308706,7,29,0
35,3,20,0.9484594250234967,10,183,0
38,1,23,0.8581566997747392,12,136,0
21,0,3,0.38701922491022417,6,154,0
44,2,4,0.5123846401757055,5,113,0
47,4,13,0.37217146872906853,13,41,0
32,2,18,0.8630001481583932,9,158,0
22,7,22,0.894873683806236,2,151,0
50,0,4,0.6679037573458185,5,40,0
4,3,15,0.6373926836230406,0,76,0
13,0,9,0.0015341415442419598,7,96,0
58,5,16,0.2402612955082878,11,21,0
44,0,12,0.5878980996600476,6,129,0
35,3,4,0.7819161805327424,10,148,0
48,6,13,0.2686763401748579,12,75,0
10,7,16,0.3643288802680975,0,53,0
25,5,19,0.7731053222251201,3,119,0
43,0,23,0.8456779553867604,12,163,0
46,3,9,0.56584039295286,3,154,0
49,2,10,0.4850303196665983,7,138,0
61,4,18,0.4647512721176336,5,2,0
17,2,2,0.44304748481906314,4,159,0
23,0,14,0.6782065766734265,13,104,0
63,2,7,0.9695991469210711,1,42,0
35,7,3,0.31927675842419645,12,42,0
61,4,14,0.2556035889185041,12,53,0
0,4,10,0.6898718004776974,0,72,0
19,5,7,0.41984207683630065,2,182,0
28,0,11,0.23541849936124282,2,71,0
16,2,12,0.6869009276698437,12,31,0
59,7,16,0.11612848404396073,9,22,0
23,7,12,0.7919247734398295,1,117,0
12,0,18,0.9494531965734884,5,61,0
58,2,19,0.38287123286574026,14,81,0
41,5,11,0.24932851843969156,11,41,0
65,0,23,0.061369005391855025,11,111,0
21,6,15,0.8188612296027217,7,94,0
37,7,3,0.9208857843839573,3,141,0
42,1,23,0.9020318009065371,8,122,0
8,7,6,0.26360610050515626,8,68,1
10,1,14,0.7629133334446454,7,68,0
32,6,5,0.11934204929263287,11,45,0
11,0,21,0.0,10,6,0
7,5,7,0.48069234373799496,3,83,0
28,1,10,0.21804335172703154,0,78,0
36,4,3,0.5252655921740634,12,51,0
1,6,6,0.09746143582374361,1,59,0
10,5,12,0.9101411504398781,6,159,0
44,4,9,0.4852631321666024,7,177,0
54,3,12,0.13718751577364893,11,33,0
12,0,7,0.5686573611635272,7,190,0
37,0,3,0.6794671932090488,9,49,0
46,3,15,0.06607620507920647,13,48,0
10,0,7,0.6375853561932797,8,112,0
33,6,4,0.39769901098493027,14,46,0
39,1,16,0.6193283990787064,10,146,0
32,6,17,0.7790702356115831,7,118,0
52,5,12,0.990448498806761,7,157,0
11,7,20,0.12264274054088233,5,56,0
44,1,20,0.1677201640408685,12,87,0
34,2,10,0.7894506569692566,9,48,0
9,4,9,1.0,9,48,0
32,2,5,0.4833258516347032,10,57,0
43,4,20,0.3107213241655134,9,109,0
19,3,22,0.7012405060005275,12,65,0
28,2,21,0.3425818767419979,9,97,0
25,5,21,0.658459066029413,10,91,0
3,2,23,0.22866496246467122,3,108,0
59,0,8,1.0,3,49,0
41,6,23,0.9439635719935439,9,40,0
17,5,14,0.4872646537110796,10,11,0
34,3,6,1.0,4,168,0
14,2,3,0.8306683894119968,12,34,0
52,1,13,0.6585731884964585,3,82,0
25,6,4,0.8313303747523647,3,27,0
8,6,15,0.0941608824192206,6,159,0
53,1,10,0.8467186937324992,14,13,0
41,7,5,0.3507191940069993,3,180,0
52,7,6,0.08879501877578645,5,142,0
40,7,10,0.19600969151029451,0,28,0
49,4,14,0.7497841886222933,13,142,0
20,0,22,0.3007928124514276,12,9,0
62,2,6,0.46194403275229534,6,161,0
39,1,12,0.6942260886609964,13,133,0
25,0,23,0.3660163254326813,10,83,0
29,4,7,0.7443971688003727,2,172,0
38,4,15,0.7089186071562358,6,140,0
30,0,10,0.33966116599591417,3,70,0
29,4,12,0.4297418169360349,4,74,0
12,1,6,1.0,10,94,0
47,2,18,0.8465122679301087,5,44,0
10,2,11,0.5556349576478934,10,160,0
19,4,9,0.8265872696517012,0,43,0
27,0,11,0.0,0,87,0
26,7,19,0.44363807902638364,13,26,0
56,1,5,0.6704324743493737,9,177,0
39,5,16,0.6389747832886952,5,98,0
12,4,5,0.6457459310823725,12,12,0
9,2,7,0.747415846623687,9,11,0
16,3,19,0.5016578051731712,8,131,0
9,6,8,0.7524856751311976,8,67,0
32,1,20,0.42096879531794257,14,151,0
26,2,10,0.16153835753423462,4,85,0
51,0,16,0.48350591772351964,6,46,0
49,3,22,0.6266901666672307,4,143,0
29,0,10,0.018008267149661097,6,87,0
13,0,18,0.8643291303655579,12,59,0
52,1,8,0.5552349358786199,1,102,0
51,3,10,0.9273296189302818,1,22,0
13,4,7,0.1456013093645703,11,60,0
10,7,8,0.9303457383650667,10,50,0
29,5,15,0.738842021774144,2,146,0
36,6,4,0.9422815126674173,0,167,0
6,7,13,0.2753612619362426,6,160,0
50,0,15,0.5770267657333495,7,140,0
65,1,8,0.8831116243388528,11,23,0
60,1,10,0.6751563835442145,5,155,0
56,2,18,0.7481925200776326,1,129,0
9,5,5,1.0,9,37,0
7,6,12,0.6981502034388247,7,54,0
51,0,13,0.7425821624970768,14,44,0
41,5,12,0.9994713569657887,14,124,0
22,3,17,0.9879542278124351,0,161,0
9,4,16,0.7999192607966449,9,144,0
46,5,8,0.2161149075132308,12,46,0
58,2,13,0.6372314107662176,10,135,0
43,1,21,0.6681733547922369,3,140,0
68,0,12,0.6853382777523268,17,57,0
35,0,17,0.6991749739935287,6,188,0
52,1,18,0.7830131661480036,0,144,0
47,5,8,0.13916624030952862,2,149,0
3,0,4,0.5497430532841919,3,24,0
45,0,15,0.20111293806354524,0,146,0
34,1,19,0.9858987212983205,10,117,0
11,6,12,0.9957595707839203,5,145,0
11,7,5,0.049520174913022685,9,94,1
9,7,7,0.48147649794419556,9,168,0
61,0,20,0.46865936502721434,5,150,0
4,0,11,0.19443497499622342,3,163,0
17,7,22,0.5424734219119025,13,96,0
63,4,23,0.1632688110230932,7,19,0
12,2,17,0.15555159952608397,6,128,0
13,4,15,0.45073601282895603,13,32,0
36,5,7,0.05113578770932012,11,58,0
49,1,8,0.5551155824271128,5,45,0
68,0,2,0.6354971652141032,0,139,0
46,5,19,0.4538391212454631,12,93,0
6,0,10,0.9076859703454909,1,105,0
15,3,8,1.0,12,88,0
38,2,7,0.6713266943679236,5,53,0
48,5,8,0.4602059371925518,13,123,0
41,7,2,0.11737513840631272,4,149,0
17,3,21,0.534014142043715,11,18,0
41,7,23,0.54725155627149,7,158,0
26,7,13,0.5051312817609941,0,30,0
51,0,4,0.3495787482229914,0,70,0
17,3,23,0.7602195813654468,17,78,0
32,2,10,0.6389318132085722,9,66,0
20,5,17,0.585858303416075,2,123,0
28,7,14,0.9919767936246415,6,116,0
39,1,19,0.7932828601640085,1,107,0
24,7,21,0.4462130158281265,12,185,0
24,0,22,0.664230930393983,11,111,0
43,0,10,0.9006210718317805,6,82,0
8,5,12,0.7604136558748557,3,59,0
29,0,21,0.1795684155800037,12,153,0
37,0,17,0.35479510113604773,0,132,0
10,1,12,0.7450131474650302,10,114,0
16,4,16,0.30318964850345953,4,127,0
59,7,23,0.1783536265779101,4,15,0
16,0,14,0.4600010162277083,13,6,0
37,3,15,0.5879003417300779,6,125,0
19,5,10,0.5302353100837525,5,161,0
7,7,23,0.16387674001349187,6,67,0
49,0,18,0.5057844249071874,4,144,0
21,2,19,0.7941288177199737,2,114,0
14,3,3,0.5742368232287949,14,1,0
32,3,4,0.6282557628591801,11,68,0
28,3,15,0.32569077446085537,8,128,0
14,7,17,0.4558963539811774,11,44,0
12,5,14,0.2953008478317772,12,20,0
46,1,11,0.6741942423358924,5,150,0
12,2,23,0.42935079852523983,9,97,0
41,0,18,1.0,14,37,0
32,0,7,0.30098580778582396,2,89,0
49,0,8,0.7320881303201415,6,85,0
58,5,16,0.3866641640629944,12,112,0
6,7,5,0.7117236546411618,6,64,0
58,0,5,0.9682919084926445,12,10,0
29,5,8,0.421733103210565,4,154,0
14,7,11,0.6222964143227573,11,47,0
47,7,7,0.8710361246496529,0,166,0
15,1,20,0.2980440782923212,15,16,0
9,3,19,0.640401814258904,0,119,0
66,4,18,0.4473658959981438,9,1,0
15,1,15,0.6407082393708897,1,28,0
20,4,13,0.5447482708283541,4,159,0
22,1,14,0.9027672845979869,11,44,0
51,0,19,0.23964217661427697,15,94,0
17,7,6,0.8816021299601847,7,30,0
21,1,5,0.9012040927732102,0,36,0
20,7,12,0.9465757072161989,4,148,0
5,3,13,0.632166120163832,5,62,0
23,0,16,0.5840409788920664,10,98,0
2,0,15,0.8389946887538988,2,125,0
13,5,20,0.44045982279741097,13,89,0
46,3,16,0.2939333604629264,2,144,0
25,0,5,0.9813501190343453,1,22,0
33,5,17,1.0,7,138,0
48,4,8,0.4661111719918487,9,168,0
15,2,16,0.8565118009593499,3,103,0
65,7,23,0.9141858151157223,9,176,0
2,1,20,0.658608287753756,2,82,0
15,5,9,0.09791832186386536,4,93,0
27,0,5,0.4363053614451574,4,124,0
0,6,10,0.4237639783728998,0,70,0
34,0,13,0.15738124510812881,0,92,0
18,0,20,0.8070214911802279,12,165,0
23,0,18,0.07137413171486119,11,5,0
5,1,17,0.9084058450333773,4,12,0
8,4,10,0.5973975593141941,4,54,0
31,6,3,1.0,4,139,0
54,0,9,0.7467785903736769,8,84,0
25,1,15,0.8408691305485629,0,41,0
12,1,21,0.7224437853759719,0,27,0
13,6,9,0.6912880665841356,5,55,0
3,7,23,0.3544149882986656,1,57,0
11,0,18,0.5824918307527764,9,135,0
41,0,16,1.0,15,182,0
20,5,11,0.18784162104133548,6,123,0
12,0,14,0.7997198698419122,0,65,0
19,3,23,0.5764170872686647,9,93,0
22,2,15,0.7623126345896938,14,35,0
36,7,20,0.3365684969861565,0,78,0
42,0,15,0.5079473884601708,7,154,0
19,1,3,0.6759501209153265,12,55,0
64,0,9,0.9132291619207591,13,59,0
29,4,21,0.4579658787288759,11,103,0
62,1,6,0.3779049848673656,7,45,0
8,7,2,0.5305657080204385,8,66,0
41,6,7,0.7803290980103301,7,84,0
17,3,10,0.6380494323813553,17,71,0
31,1,10,0.45053324162480807,0,51,0
15,7,9,0.6340269123756147,12,104,0
65,5,18,0.3898150197908502,8,1,0
40,7,3,0.38949040169206284,0,28,0
54,0,20,0.2652073982849481,15,101,0
49,0,16,0.7803412053260983,12,36,0
49,0,3,0.77804049253238,4,163,0
16,4,16,0.15681507036104692,16,101,0
44,0,11,0.5647146611075948,7,101,0
54,5,16,0.21147609265866182,8,53,0
54,0,22,0.820494689846226,6,133,0
26,1,14,0.20979503835581786,4,75,0
32,2,23,0.6723915769710618,15,42,0
14,2,4,0.7537313372264044,14,15,0
36,0,20,0.6648271733740172,10,85,0
27,0,23,0.4407287560279858,8,57,0
12,4,21,0.969664358990053,10,29,0
2,0,21,0.48597946045148666,0,92,0
46,7,9,0.5322507171023294,0,158,0
16,7,21,0.7235648243711287,3,158,0
43,3,20,0.7019766738361972,11,42,0
28,6,8,1.0,3,145,0
11,0,12,0.8610241654567916,6,13,0
19,5,19,0.9158478865953535,0,1,0
37,2,3,0.0893685937242028,0,65,0
14,7,13,0.5912171325097001,1,116,0
55,4,11,0.6517101100986054,1,49,0
65,3,19,0.37064924258242676,7,6,0
0,5,15,0.41194951119652107,0,43,0
47,4,4,0.9285723405673241,6,138,0
19,7,16,0.8921298976081383,2,122,0
38,5,4,1.0,1,138,0
60,5,5,1.0,0,39,0
36,3,21,0.33578115642949197,2,138,0
22,2,20,0.5766524220512272,13,105,0
53,3,17,0.5357467133857073,7,21,0
36,6,5,0.6722408819512101,6,69,0
46,0,5,0.8931166504855184,0,80,0
58,1,9,0.3989854631768227,11,50,0
22,3,6,0.14663500261385165,2,90,0
38,0,16,0.31359530859883944,1,133,0
49,7,14,0.9356453896029568,15,117,0
22,7,2,0.9414150038522225,7,39,0
7,0,16,0.24666507655206,7,99,0
